objectid,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,extra
te_202,Kim-1 single-board computer,Commodore,1979,,Technology,,,,,,te_202,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/48195fa103c3d751353d64b072d3c1e61bd293f1.jpg,,,,,
te_080,Early phonograph with large horn,,,,Technology,,Display Case G2a,,,,te_080,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/6b85a585e518f1e99359c0d270b63754bec0e3af.jpg,,,,,
te_082,Large horn used with early phonograph,,,,Technology,,Display Case G2a,,,,te_082,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/31845584efddc45520d853bfb9353420711102f1.jpg,,,,,
te_087,Phonograph for 78-rpm records,,,,Technology,,,,,,te_087,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/98b591b71e949a67425ae8c3ff1f3fbd8ffa2a5b.jpg,,,,,
mr_019,"Meteorite ""Roy""",,,,Meteorites,,Display Case F3,,,,mr_019,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/f8ee6610ab001a03712aba544a5f53dc056a990f.jpg,,,,,
mr_024,"Meteorite ""Arriba""",,,,Meteorites,,Display Case F3,,,,mr_024,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/45fe22338a820c7f9339abd279f3c4444268f72b.jpg,,,,,
mr_023,"Meteorite ""Arispe""",,1896,,Meteorites,,Display Case F3,,,,mr_023,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/47677f44899b531cc7db16e824aeaebed15d37f5.jpg,,,,,
mr_002,"Meteorite ""Allende""",,1969,,Meteorites,,Display Case F3,,,,mr_002,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/a09d37031e6c91be8f08e5119045d4a1309d9d7c.jpg,,,,,
mr_013,"Meteorite ""Plainview""",,1938,,Meteorites,,Display Case F3,,,,mr_013,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/3bc00423532f4bce18a1bc35d8600d2270531702.jpg,,,,,
mr_011,"Meteorite ""Canyon Diablo""",,,,Meteorites,,Display Case F3,,,,mr_011,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/0d662c288fe1e494fb8d093aa8a183406a921064.jpg,,,,,
